CORR.,Brand,Model.Number,BrandModel,Price,Photo,Engine.Type,Body.Type,Fuel.Type,Gearbox.Type,Power.hp,Displacement.l,Torque.lbft,Cylinders,Drivetrain,MPG.City,MPG.Highway,Seats,Doors,Height.in,Length.in,Width.in,Wheelbase.in,Clearance.in,Air.Conditioner,Heater,AntiLock.Braking.System,Central.Locking,Power.Steering,Power.Windows,Leather.Seats,Anti.Lock.Braking,Brake.Assist,Central.Locking.1,Power.Door.Locks,Child.Safety.Locks,Night.Rear.View.Mirror,Rear.Seat.Belts,Door.Ajar.Warning,Adjustable.Seats,Crash.Sensor,Engine.Check.Warning,Rear.Camera,Anti.Theft.Device,Touch.Screen,Audio.System.Remote.Control,Speakers.Front...back,Bluetooth.Connectivity,USB...Auxiliary.Input,Adjustable.Steering.Column,Height.Adjustable.Driving.Seat,Digital.Clock,Smoke.Headlamps,Electric.Folding.Rear.View.Mirror,Automatic.Climate.Control,Low.Fuel.Warning.Light,Parking.Sensors,Bottle.Holder,Voice.Control,Seat.Belt.Warning,Vehicle.Stability.Control.System,Engine.Immobilizer,Rear.Reading.Lamp,Radio,Outside.Temperature.Display,Fog.Lights.Front...Back,Centrally.Mounted.Fuel.Tank,CD.Player,DVD.Player,Electric.Adjustable.Seats,Keyless.Entry,Tyre.Pressure.Monitor,Smart.Access.Card.Entry,Xenon.Headlamps,Halogen.Headlamps,Removable.Convertible.Top,Cassette.Player
129,Lexus,IS 2023,LEXUSIS 2023,42120,https://www.ccarprice.com/products/Lexus_IS_2023.jpg,3.5-liter V6 Gas,Sedan,Petrol,Automatic,311,3.5,280,6,rear,20,28,5,4,56.5,185.4,72.4,110.2,5.5,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,
130,Lexus,GX 2023,LEXUSGX 2023,56120,https://www.ccarprice.com/products/Lexus_GX_2023.jpg,4.6L V8 Gas,SUV,Petrol,Automatic,301,4.6,329,NA,all,15,19,7,5,74.2,192.1,74.2,109.8,8.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,,
131,Lexus,RX Hybrid 2023,LEXUSRX HYBRID 2023,50720,https://www.ccarprice.com/products/Lexus_RX_Hybrid_2023.jpg,2.4L Turbo Inline-4 Hybrid,SUV,Hybrid,CVT,246,2.4,233,4,all,NA,NA,5,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,Yes,,
132,Lexus,RZ 2023,LEXUSRZ 2023,55000,https://www.ccarprice.com/products/Lexus_RZ_2023_1.jpg,Electric,SUV,Electric,Automatic,308,NA,NA,NA,all,0,0,5,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,
133,Lexus,RX 350 2023,LEXUSRX 350 2023,46920,https://www.ccarprice.com/products/Lexus_RX_2023.jpg,2.4L Turbo Inline-4 Gas,SUV,Petrol,Automatic,275,2.4,317,4,front,19,26,5,4,67.7,192.5,74.6,109.8,7.9,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,,,Yes,,,,Yes,,
134,Lexus,NX 350h Luxury 2022,LEXUSNX 350H LUXURY 2022,49000,https://www.ccarprice.com/products/Lexus_NX_350h_Luxury_2022.jpg,2.5L Inline-4 Hybrid,SUV,Petrol,CVT,240,2.5,167,4,all,41,37,5,4,65.4,183.5,73.4,105.9,7.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,,,
135,Lexus,NX 350 F SPORT Handling 2022,LEXUSNX 350 F SPORT HANDLING 2022,47050,https://www.ccarprice.com/products/Lexus_NX_350_F_SPORT_Handling_2022.jpg,2.4L Turbo Inline-4 Gas,SUV,Petrol,Automatic,275,2.4,317,4,all,22,28,5,4,65.4,183.5,73.4,105.9,7.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,,,
136,Lexus,NX 350h Premium 2022,LEXUSNX 350H PREMIUM 2022,44600,https://www.ccarprice.com/products/Lexus_NX_350h_Premium_2022.jpg,2.5L Inline-4 Hybrid,SUV,Petrol,CVT,240,2.5,167,4,all,41,37,5,4,65.4,183.5,73.4,105.9,7.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,,,
137,Lexus,IS 350 F Sport AWD 2022,LEXUSIS 350 F SPORT AWD 2022,45550,https://www.ccarprice.com/products/Lexus_IS_350F_Sport_AWD_2022.jpg,3.5L V6 Gas,Sedan,Petrol,Automatic,311,3.5,280,6,all,19,26,5,4,56.7,185.4,72.4,110.2,5.5,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,,,,,
138,Lexus,NX 450h+ Plug-in Hybrid F SPORT 2022,LEXUSNX 450H+ PLUG-IN HYBRID F SPORT 2022,57400,https://www.ccarprice.com/products/Lexus_NX_450h_Plus_Plug-inHybrid_F_SPORT_2023.jpg,2.5L Inline-4 Plug-in Hybrid,SUV,Hybrid,CVT,304,2.5,176,4,all,NA,NA,5,4,65.4,183.5,73.4,105.9,7.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,,,
139,Lexus,NX 350 Luxury 2022,LEXUSNX 350 LUXURY 2022,49400,https://www.ccarprice.com/products/Lexus_NX_350_Luxury_2022.jpg,2.4L Turbo Inline-4 Gas,SUV,Petrol,Automatic,275,2.4,317,4,all,22,29,5,4,65.4,183.5,73.4,105.9,7.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,,,
140,Lexus,NX 350 Premium 2022,LEXUSNX 350 PREMIUM 2022,45000,https://www.ccarprice.com/products/Lexus_NX_350_Premium_2022.jpg,2.4L Turbo Inline-4 Gas,SUV,Petrol,Automatic,275,2.4,317,4,all,22,29,5,4,65.4,183.5,73.4,105.9,7.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,,,
141,Lexus,NX 250 Luxury 2022,LEXUSNX 250 LUXURY 2022,44500,https://www.ccarprice.com/products/Lexus_NX_250_Luxury_2022.jpg,2.5L Inline-4 Gas,SUV,Petrol,Automatic,203,2.5,184,4,front,26,33,5,4,65.8,183.5,73.4,105.9,7.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,,,,
142,Lexus,ES 250 Ultra Luxury AWD 2022,LEXUSES 250 ULTRA LUXURY AWD 2022,50130,https://www.ccarprice.com/products/Lexus_ES_250_Ultra_Luxury_AWD_2022.jpg,2.5L Inline-4 Gas,Sedan,Petrol,Automatic,203,2.5,184,4,all,25,34,5,4,56.9,195.9,73.4,113,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,Yes,,
143,Lexus,ES 250 F SPORT AWD 2022,LEXUSES 250 F SPORT AWD 2022,45600,https://www.ccarprice.com/products/Lexus_ES_250_F_SPORT_AWD_2022.jpg,2.5L Inline-4 Gas,Sedan,Unknown,Automatic,203,2.5,184,NA,all,25,34,5,4,56.9,195.9,73.4,113,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,,,Yes,,,Yes,,,,
144,Lexus,ES 250 AWD 2022,LEXUSES 250 AWD 2022,40950,https://www.ccarprice.com/products/Lexus_ES_250_AWD_2022.jpg,2.5L Inline-4 Gas,Sedan,Unknown,Automatic,203,2.5,184,NA,all,17,22,5,4,56.9,195.9,73.4,113,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,,,Yes,,,Yes,,,,
145,Lexus,LX 600 F SPORT 2022,LEXUSLX 600 F SPORT 2022,101000,https://www.ccarprice.com/products/Lexus_LX_600_F_SPORT_2022.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,409,3.5,479,NA,all,17,22,7,4,74.6,200.5,78.3,112.2,7.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,,
146,Lexus,NX 250 PREMIUM 2022,LEXUSNX 250 PREMIUM 2022,41000,https://www.ccarprice.com/products/Lexus_NX_250_PREMIUM_2022.jpg,2.5L Inline-4 Gas,SUV,Unknown,Automatic,203,2.5,184,NA,front,26,33,5,4,65.8,183.5,73.4,105.9,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,Yes,,,,,,,
147,Lexus,RZ 450e DIRECT4 2023,LEXUSRZ 450E DIRECT4 2023,55000,https://www.ccarprice.com/products/Lexus_RZ_450e_DIRECT4_2023.jpg,Electric,SUV,Electric,Automatic,308,NA,NA,NA,all,0,0,5,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,
148,Lexus,RC F FUJI SPEEDWAY EDITION 2022,LEXUSRC F FUJI SPEEDWAY EDITION 2022,101090,https://www.ccarprice.com/products/Lexus_RC_F_FUJI_SPEEDWAY_EDITION_2022.jpg,5.0L V8 Gas,Sedan,Unknown,Automatic,472,5,395,NA,rear,16,24,5,4,54.7,185.4,72.6,107.5,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,Yes,,,,,,,
149,Lexus,LS 500 F Sport 2022,LEXUSLS 500 F SPORT 2022,79700,https://www.ccarprice.com/products/Lexus_LS_500_F_Sport_2022.jpg,3.5L Twin-Turbo V6 Gas,Sedan,Unknown,Automatic,416,3.5,442,NA,rear,18,29,5,4,57.1,206.1,74.8,123,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,Yes,,,,,,,
150,Lexus,UX 300e 2023,LEXUSUX 300E 2023,35920,https://www.ccarprice.com/products/Lexus_Ux_300e_2023.jpg,Electric,SUV,Electric,Automatic,201,NA,222,NA,all,0,0,5,4,60.8,176.9,72.4,103.9,6.2,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,Yes,,,Yes,,,,,,,
151,Lexus,RX Hybrid 450hL Luxury 2022,LEXUSRX HYBRID 450HL LUXURY 2022,57660,https://www.ccarprice.com/products/Lexus_RX_Hybrid_450hL_Luxury_2022.jpg,3.5L V6 Hybrid,SUV,Hybrid,CVT,308,3.5,247,6,all,29,31,6,4,67.7,192.5,74.6,109.8,7.9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,Yes,,
152,Lexus,RX Hybrid 450h F SPORT Handling 2022,LEXUSRX HYBRID 450H F SPORT HANDLING 2022,54070,https://www.ccarprice.com/products/Lexus_RX_Hybrid_450h_F-SPORT_Handling_2022.jpg,3.5L V6 Hybrid,SUV,Hybrid,CVT,308,3.5,247,6,all,31,28,5,4,67.7,192.5,74.6,109.8,7.9,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,Yes,,
153,Lexus,RX Hybrid 450h F SPORT Black Line 2022,LEXUSRX HYBRID 450H F SPORT BLACK LINE 2022,51880,https://www.ccarprice.com/products/Lexus_RX_Hybrid_450h_F_SPORT_Black_Line_2022.jpg,3.5L V6 Hybrid,SUV,Hybrid,CVT,259,3.5,247,6,all,31,28,5,4,67.7,192.5,74.6,109.8,7.9,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,Yes,,
154,Lexus,RX Hybrid 450h F SPORT Appearance 2022,LEXUSRX HYBRID 450H F SPORT APPEARANCE 2022,51750,https://www.ccarprice.com/products/Lexus_RX_Hybrid_450h_F_SPORT_Appearance_2022.jpg,3.5L V6 Hybrid,SUV,Hybrid,CVT,308,3.5,247,6,all,31,28,5,4,67.7,192.5,74.6,109.8,7.9,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,,,,Yes,,
155,Lexus,RX 350 2023,LEXUSRX 350 2023,45920,https://www.ccarprice.com/products/Lexus_RX_350_2023.jpg,2.4L Turbo Inline-4 Gas,SUV,Petrol,Automatic,275,2.4,317,4,front,20,27,5,4,67.7,192.5,74.6,109.8,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,,
156,Lexus,RX 350 AWD 2022,LEXUSRX 350 AWD 2022,46970,https://www.ccarprice.com/products/Lexus_RX_350_AWD_2022.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,295,3.5,267,6,all,19,26,5,4,67.7,192.5,74.6,109.8,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,,
157,Lexus,RX 350L Luxury AWD 2022,LEXUSRX 350L LUXURY AWD 2022,55800,https://www.ccarprice.com/products/Lexus_RX_350L_Luxury_AWD_2022.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,290,3.5,263,6,front,19,26,7,4,67.3,196.9,74.6,109.8,8.1,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,,
158,Lexus,RX 350 F SPORT Handling AWD 2022,LEXUSRX 350 F SPORT HANDLING AWD 2022,52850,https://www.ccarprice.com/products/Lexus_RX_350_F_SPORT_Handling_AWD_2022_1.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,295,3.5,267,6,all,19,26,5,4,67.7,192.5,74.6,109.8,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,,
159,Lexus,RX 350 F SPORT Handling 2022,LEXUSRX 350 F SPORT HANDLING 2022,51450,https://www.ccarprice.com/products/Lexus_RX_350_F_SPORT_Handling_FWD_2022.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,295,3.5,267,6,front,20,27,5,4,67.7,192.5,74.6,109.8,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,,
160,Lexus,RX 350 F SPORT Appearance AWD 2022,LEXUSRX 350 F SPORT APPEARANCE AWD 2022,50450,https://www.ccarprice.com/products/Lexus_RX_350_F_SPORT_Appearance_AWD_2022.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,295,3.5,267,6,all,19,26,5,4,67.7,192.5,74.6,109.8,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,,
161,Lexus,RX 350 F SPORT Appearance 2022,LEXUSRX 350 F SPORT APPEARANCE 2022,49050,https://www.ccarprice.com/products/Lexus_RX_350_F_SPORT_Appearance_2022.jpg,3.5L V6 Gas,SUV,Petrol,Automatic,295,3.5,267,6,front,20,27,5,4,67.7,192.5,74.6,109.8,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,,
162,Lexus,LX 600 Ultra Luxury 2022,LEXUSLX 600 ULTRA LUXURY 2022,126000,https://www.ccarprice.com/products/Lexus_LX_600_Ultra_Luxury_2022.jpg,3.5L Twin-Turbo V6 Gas,SUV,Petrol,Automatic,409,3.5,480,NA,all,17,22,4,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,,
163,Lexus,LX 600 Luxury 2022,LEXUSLX 600 LUXURY 2022,103000,https://www.ccarprice.com/products/Lexus_LX_600_Luxury_2022.jpg,3.5L Twin-Turbo V6 Gas,SUV,Petrol,Automatic,409,3.5,480,NA,all,17,22,7,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,,
164,Lexus,LX 600 F SPORT Handling 2022,LEXUSLX 600 F SPORT HANDLING 2022,101000,https://www.ccarprice.com/products/Lexus_LX_600_F_SPORT_Handling__2022.jpg,3.5L Twin-Turbo V6 Gas,SUV,Petrol,Automatic,409,3.5,480,NA,all,17,22,7,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,,
165,Lexus,LX 600 Premium 2022,LEXUSLX 600 PREMIUM 2022,95000,https://www.ccarprice.com/products/Lexus_LX_600_Premium_2022.jpg,3.5L Twin-Turbo V6 Gas,SUV,Petrol,Automatic,409,3.5,480,NA,all,17,22,7,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,,
166,Lexus,LX 600 2022,LEXUSLX 600 2022,86900,https://www.ccarprice.com/products/Lexus_LX_600_2022.jpg,3.5L Twin-Turbo V6 Gas,SUV,Petrol,Automatic,409,3.5,480,NA,all,17,22,5,4,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,,
167,Lexus,NX Hybrid 2022,LEXUSNX HYBRID 2022,41050,https://www.ccarprice.com/products/Lexus_NX_2022.jpg,2.5L Inline-4 Hybrid,SUV,Petrol,CVT,240,2.5,167,NA,all,41,37,5,4,65.4,183.5,73.4,105.9,7.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,Yes,,
168,Lexus,ES 300h Ultra Luxury 2023,LEXUSES 300H ULTRA LUXURY 2023,51330,https://www.ccarprice.com/products/Lexus_ES_300h_Ultra_Luxury_2023.jpg,2.5L Inline-4 Hybrid,Sedan,Petrol,CVT,215,2.5,163,4,front,43,44,5,4,56.9,195.9,73.4,113,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,
169,Lexus,ES 300h Luxury 2023,LEXUSES 300H LUXURY 2023,47710,https://www.ccarprice.com/products/LexusES_300h_Luxury_2023.jpg,2.5L Inline-4 Hybrid,SUV,Hybrid,CVT,215,2.5,163,4,front,43,44,5,4,56.9,195.9,73.4,113,NA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,
